Date,Flights
2008-04-13 00:00:00,6697
2008-04-14 00:00:00,7013
2008-04-15 00:00:00,6817
2008-04-16 00:00:00,7007
2008-04-17 00:00:00,7058
2008-04-18 00:00:00,7094
2008-04-19 00:00:00,5889
2008-04-20 00:00:00,6672
2008-04-21 00:00:00,7030
2008-04-22 00:00:00,6851
2008-04-23 00:00:00,7006
2008-04-24 00:00:00,7086
2008-04-25 00:00:00,6916
2008-04-26 00:00:00,5844
2008-04-27 00:00:00,6706
2008-04-28 00:00:00,6867
2008-04-29 00:00:00,6864
2008-04-30 00:00:00,7007
2008-05-01 00:00:00,7035
2008-05-02 00:00:00,6856
2008-05-03 00:00:00,5783
2008-05-04 00:00:00,6655
2008-05-05 00:00:00,7026
2008-05-06 00:00:00,6781
2008-05-07 00:00:00,6902
2008-05-08 00:00:00,7042
2008-05-09 00:00:00,6960
2008-05-10 00:00:00,5816
2008-05-11 00:00:00,6613
2008-05-12 00:00:00,6899
2008-05-13 00:00:00,6798
2008-05-14 00:00:00,6967
2008-05-15 00:00:00,7081
2008-05-16 00:00:00,7061
2008-05-17 00:00:00,5855
2008-05-18 00:00:00,6673
2008-05-19 00:00:00,7038
2008-05-20 00:00:00,6782
2008-05-21 00:00:00,6968
2008-05-22 00:00:00,7076
2008-05-23 00:00:00,7106
2008-05-24 00:00:00,5733
2008-05-25 00:00:00,5796
2008-05-26 00:00:00,6757
2008-05-27 00:00:00,6695
2008-05-28 00:00:00,6958
2008-05-29 00:00:00,7057
2008-05-30 00:00:00,7046
2008-05-31 00:00:00,5811
2008-06-01 00:00:00,6664
2008-06-02 00:00:00,7037
2008-06-03 00:00:00,6776
2008-06-04 00:00:00,6773
2008-06-05 00:00:00,6979
2008-06-06 00:00:00,6987
2008-06-07 00:00:00,6012
2008-06-08 00:00:00,6454
2008-06-09 00:00:00,6933
2008-06-10 00:00:00,6737
2008-06-11 00:00:00,6955
2008-06-12 00:00:00,7080
2008-06-13 00:00:00,7016
2008-06-14 00:00:00,5958
2008-06-15 00:00:00,6619
2008-06-16 00:00:00,6741
2008-06-17 00:00:00,6940
2008-06-18 00:00:00,6972
2008-06-19 00:00:00,7050
2008-06-20 00:00:00,7113
2008-06-21 00:00:00,6143
2008-06-22 00:00:00,6595
2008-06-23 00:00:00,6972
2008-06-24 00:00:00,6973
2008-06-25 00:00:00,7000
2008-06-26 00:00:00,6980
2008-06-27 00:00:00,6998
2008-06-28 00:00:00,6026
2008-06-29 00:00:00,6538
2008-06-30 00:00:00,7063
2008-07-01 00:00:00,7075
2008-07-02 00:00:00,7043
2008-07-03 00:00:00,7097
2008-07-04 00:00:00,5520
2008-07-05 00:00:00,5978
2008-07-06 00:00:00,6720
2008-07-07 00:00:00,7075
2008-07-08 00:00:00,6873
2008-07-09 00:00:00,6822
2008-07-10 00:00:00,6957
2008-07-11 00:00:00,7104
2008-07-12 00:00:00,6133
2008-07-13 00:00:00,6467
2008-07-14 00:00:00,7060
2008-07-15 00:00:00,7022
2008-07-16 00:00:00,7088
2008-07-17 00:00:00,7092
2008-07-18 00:00:00,7111
2008-07-19 00:00:00,6117
2008-07-20 00:00:00,6688
2008-07-21 00:00:00,7019
2008-07-22 00:00:00,6912
2008-07-23 00:00:00,6436
2008-07-24 00:00:00,6820
2008-07-25 00:00:00,7081
2008-07-26 00:00:00,6120
2008-07-27 00:00:00,6329
2008-07-28 00:00:00,6997
2008-07-29 00:00:00,6987
2008-07-30 00:00:00,7038
2008-07-31 00:00:00,6991
2008-08-01 00:00:00,7074
2008-08-02 00:00:00,5880
2008-08-03 00:00:00,6686
2008-08-04 00:00:00,6785
2008-08-05 00:00:00,6838
2008-08-06 00:00:00,6994
2008-08-07 00:00:00,6970
2008-08-08 00:00:00,7002
2008-08-09 00:00:00,6124
2008-08-10 00:00:00,6395
2008-08-11 00:00:00,6713
2008-08-12 00:00:00,6977
2008-08-13 00:00:00,7063
2008-08-14 00:00:00,6869
2008-08-15 00:00:00,6817
2008-08-16 00:00:00,6069
2008-08-17 00:00:00,6770
2008-08-18 00:00:00,7082
2008-08-19 00:00:00,6585
2008-08-20 00:00:00,6833
2008-08-21 00:00:00,6926
2008-08-22 00:00:00,6964
2008-08-23 00:00:00,5685
2008-08-24 00:00:00,6582
2008-08-25 00:00:00,6861
2008-08-26 00:00:00,6667
2008-08-27 00:00:00,6790
2008-08-28 00:00:00,6906
2008-08-29 00:00:00,6938
2008-08-30 00:00:00,5372
2008-08-31 00:00:00,5345
2008-09-01 00:00:00,6574
2008-09-02 00:00:00,6639
2008-09-03 00:00:00,6464
2008-09-04 00:00:00,6522
2008-09-05 00:00:00,6570
2008-09-06 00:00:00,5020
2008-09-07 00:00:00,6207
2008-09-08 00:00:00,6504
2008-09-09 00:00:00,5942
2008-09-10 00:00:00,6393
2008-09-11 00:00:00,6562
2008-09-12 00:00:00,6278
2008-09-13 00:00:00,4702
2008-09-14 00:00:00,5645
2008-09-15 00:00:00,6423
2008-09-16 00:00:00,6208
2008-09-17 00:00:00,6370
2008-09-18 00:00:00,6564
2008-09-19 00:00:00,6586
2008-09-20 00:00:00,5122
2008-09-21 00:00:00,6183
2008-09-22 00:00:00,6521
2008-09-23 00:00:00,6245
2008-09-24 00:00:00,6387
2008-09-25 00:00:00,6532
2008-09-26 00:00:00,6439
2008-09-27 00:00:00,5098
2008-09-28 00:00:00,6180
2008-09-29 00:00:00,6513
2008-09-30 00:00:00,6222
2008-10-01 00:00:00,6378
2008-10-02 00:00:00,6586
2008-10-03 00:00:00,6610
2008-10-04 00:00:00,5131
2008-10-05 00:00:00,6232
2008-10-06 00:00:00,6546
2008-10-07 00:00:00,6245
2008-10-08 00:00:00,6391
2008-10-09 00:00:00,6591
2008-10-10 00:00:00,6632
2008-10-11 00:00:00,5164
2008-10-12 00:00:00,6253
2008-10-13 00:00:00,6571
2008-10-14 00:00:00,6292
2008-10-15 00:00:00,6374
2008-10-16 00:00:00,6593
2008-10-17 00:00:00,6618
2008-10-18 00:00:00,5134
2008-10-19 00:00:00,6229
2008-10-20 00:00:00,6580
2008-10-21 00:00:00,6241
2008-10-22 00:00:00,6386
2008-10-23 00:00:00,6619
2008-10-24 00:00:00,6618
2008-10-25 00:00:00,5033
2008-10-26 00:00:00,6217
2008-10-27 00:00:00,6531
2008-10-28 00:00:00,6078
2008-10-29 00:00:00,6356
2008-10-30 00:00:00,6579
2008-10-31 00:00:00,6448
2008-11-01 00:00:00,5117
2008-11-02 00:00:00,6031
2008-11-03 00:00:00,6398
2008-11-04 00:00:00,6170
2008-11-05 00:00:00,6315
2008-11-06 00:00:00,6339
2008-11-07 00:00:00,6427
2008-11-08 00:00:00,5174
2008-11-09 00:00:00,6037
2008-11-10 00:00:00,6352
2008-11-11 00:00:00,6176
2008-11-12 00:00:00,6307
2008-11-13 00:00:00,6387
2008-11-14 00:00:00,6315
2008-11-15 00:00:00,5138
2008-11-16 00:00:00,6010
2008-11-17 00:00:00,6421
2008-11-18 00:00:00,6172
2008-11-19 00:00:00,6274
2008-11-20 00:00:00,6466
2008-11-21 00:00:00,6499
2008-11-22 00:00:00,5259
2008-11-23 00:00:00,6085
2008-11-24 00:00:00,6354
2008-11-25 00:00:00,6461
2008-11-26 00:00:00,6574
